Year,yearcode,Site,sitecode,Transect,Interval,Heights
1998,2,Rough Meadows,2,3.1,45,240
1998,2,Rough Meadows,2,3.1,45,236
1999,3,Rough Meadows,2,3.1,45,185
1999,3,Rough Meadows,2,3.1,45,182
2000,4,Rough Meadows,2,3.1,45,236
2000,4,Rough Meadows,2,3.1,45,205
2001,5,Rough Meadows,2,3.1,45,239
2001,5,Rough Meadows,2,3.1,45,239
2002,6,Rough Meadows,2,3.1,45,232
2002,6,Rough Meadows,2,3.1,45,197
1997,1,Rough Meadows,2,3.1,50,200
1997,1,Rough Meadows,2,3.1,50,200
1998,2,Rough Meadows,2,3.1,50,249
1998,2,Rough Meadows,2,3.1,50,231
1999,3,Rough Meadows,2,3.1,50,190
1999,3,Rough Meadows,2,3.1,50,185
2000,4,Rough Meadows,2,3.1,50,235
2000,4,Rough Meadows,2,3.1,50,225
2001,5,Rough Meadows,2,3.1,50,217
2001,5,Rough Meadows,2,3.1,50,212
2002,6,Rough Meadows,2,3.1,50,231
2002,6,Rough Meadows,2,3.1,50,183
1997,1,Rough Meadows,2,3.1,55,180
1997,1,Rough Meadows,2,3.1,55,170
1998,2,Rough Meadows,2,3.1,55,192
1998,2,Rough Meadows,2,3.1,55,191
1999,3,Rough Meadows,2,3.1,55,146
1999,3,Rough Meadows,2,3.1,55,137
2000,4,Rough Meadows,2,3.1,55,189
2000,4,Rough Meadows,2,3.1,55,179
2001,5,Rough Meadows,2,3.1,55,210
2001,5,Rough Meadows,2,3.1,55,202
2002,6,Rough Meadows,2,3.1,55,204
2002,6,Rough Meadows,2,3.1,55,162
1997,1,Rough Meadows,2,4.1,25,160
1997,1,Rough Meadows,2,4.1,25,150
1998,2,Rough Meadows,2,4.1,25,137
1998,2,Rough Meadows,2,4.1,25,81
1999,3,Rough Meadows,2,4.1,25,125
1999,3,Rough Meadows,2,4.1,25,109
2000,4,Rough Meadows,2,4.1,25,143
2000,4,Rough Meadows,2,4.1,25,139
2001,5,Rough Meadows,2,4.1,25,159
2001,5,Rough Meadows,2,4.1,25,146
2002,6,Rough Meadows,2,4.1,25,138
2002,6,Rough Meadows,2,4.1,25,136
1997,1,Rough Meadows,2,5.1,15,0
1997,1,Rough Meadows,2,5.1,15,0
1998,2,Rough Meadows,2,5.1,15,145
1998,2,Rough Meadows,2,5.1,15,125
1999,3,Rough Meadows,2,5.1,15,171
1999,3,Rough Meadows,2,5.1,15,175
2000,4,Rough Meadows,2,5.1,15,182
2000,4,Rough Meadows,2,5.1,15,177
2001,5,Rough Meadows,2,5.1,15,188
2001,5,Rough Meadows,2,5.1,15,157
2002,6,Rough Meadows,2,5.1,15,183
2002,6,Rough Meadows,2,5.1,15,163
1997,1,Rough Meadows,2,5.1,20,230
1997,1,Rough Meadows,2,5.1,20,225
1998,2,Rough Meadows,2,5.1,20,237
